,instance,SA-R,seed,SA-C,instance_size
0,4,0.3933333333333333,51,0.3933333333333333,10 jobs
1,109,0.4382666666666667,42,0.4421333333333333,500 jobs
2,8,0.8694915254237288,48,0.8694915254237288,10 jobs
3,35,0.31940456182472987,45,0.3212869147659064,25 jobs
4,82,0.42373333333333335,45,0.4242666666666667,250 jobs
5,1,0.692,50,0.692,10 jobs
6,48,0.5692538775510204,47,0.5663542857142857,50 jobs
7,30,0.6079387234042554,44,0.6079387234042554,25 jobs
8,87,0.4925333333333333,44,0.4901333333333333,250 jobs
9,71,0.528,48,0.528,100 jobs
10,111,0.7181960784313726,44,0.720392156862745,500 jobs
11,47,0.6421508704061896,44,0.6331295938104449,50 jobs
12,88,0.4437253384912959,47,0.4506065764023211,250 jobs
13,74,0.66475,49,0.6590833333333334,100 jobs
14,42,0.66,45,0.66,50 jobs
15,114,0.48166588235294117,45,0.4796235294117647,500 jobs
16,78,0.35733333333333334,50,0.36133333333333334,100 jobs
17,28,0.47445333333333334,42,0.47445333333333334,25 jobs
18,63,0.4444808080808081,46,0.4508121212121212,100 jobs
19,71,0.528,42,0.528,100 jobs
20,21,0.49142857142857144,50,0.49142857142857144,25 jobs
21,96,0.6434666666666666,50,0.6410666666666667,250 jobs
22,28,0.47445333333333334,48,0.47445333333333334,25 jobs
23,66,0.8006666666666666,47,0.8006666666666666,100 jobs
24,74,0.6620833333333334,43,0.6590833333333334,100 jobs
25,24,0.6143333333333333,51,0.6143333333333333,25 jobs
26,93,0.43653333333333333,51,0.43653333333333333,250 jobs
27,11,0.6293333333333333,47,0.6293333333333333,10 jobs
28,8,0.8694915254237288,42,0.8694915254237288,10 jobs
29,53,0.564,51,0.564,50 jobs
30,105,0.6593333333333333,51,0.6606666666666666,500 jobs
31,69,0.5433723076923077,44,0.5472123076923077,100 jobs
32,109,0.4417333333333333,48,0.4417333333333333,500 jobs
33,14,0.5788148148148148,46,0.5788148148148148,10 jobs
34,100,0.4584,50,0.4594666666666667,250 jobs
35,56,0.49333333333333335,50,0.49333333333333335,50 jobs
36,20,0.45724933451641525,42,0.45724933451641525,10 jobs
37,85,0.6218666666666667,46,0.6165333333333334,250 jobs
38,97,0.39386666666666664,42,0.3933333333333333,250 jobs
39,32,0.5173333333333333,46,0.5173333333333333,25 jobs
40,70,0.6494215384615385,50,0.6459292307692308,100 jobs
41,119,0.6493333333333333,44,0.6462666666666667,500 jobs
42,79,0.6644930612244898,48,0.6647330612244898,100 jobs
43,25,0.49207843137254903,43,0.49207843137254903,25 jobs
44,80,0.4677129411764706,47,0.46445333333333333,100 jobs
45,92,0.4231946488294314,43,0.41917591973244145,250 jobs
46,37,0.91488,47,0.91488,25 jobs
47,75,0.47699607843137254,51,0.47699607843137254,100 jobs
48,116,0.4262666666666667,47,0.428,500 jobs
49,40,0.5672738461538461,47,0.5643815384615385,25 jobs
50,52,0.5906666666666667,43,0.592,50 jobs
51,104,0.41906666666666664,43,0.41973333333333335,500 jobs
52,9,0.8280851063829787,50,0.8280851063829787,10 jobs
53,38,0.5775261538461538,44,0.5774892307692308,25 jobs
54,5,0.3974712643678161,49,0.3974712643678161,10 jobs
55,45,0.7044332015810276,46,0.7060332015810277,50 jobs
56,113,0.49506666666666665,46,0.49466666666666664,500 jobs
57,101,0.44866666666666666,42,0.44906666666666667,500 jobs
58,57,0.5477333333333333,42,0.5477333333333333,50 jobs
59,108,0.49133333333333334,50,0.48533333333333334,500 jobs
60,5,0.3974712643678161,43,0.3974712643678161,10 jobs
61,104,0.41946666666666665,49,0.4184,500 jobs
62,52,0.5906666666666667,49,0.5906666666666667,50 jobs
63,64,0.5771742424242424,45,0.5775075757575757,100 jobs
64,19,0.5304,47,0.5304,10 jobs
65,57,0.5477333333333333,48,0.5477333333333333,50 jobs
66,101,0.4493333333333333,48,0.44653333333333334,500 jobs
67,61,0.5,44,0.5028571428571429,100 jobs
68,20,0.45724933451641525,48,0.45724933451641525,10 jobs
69,97,0.3912,48,0.39013333333333333,250 jobs
70,16,0.7858823529411765,44,0.7858823529411765,10 jobs
71,25,0.49207843137254903,49,0.49207843137254903,25 jobs
72,92,0.41913311036789297,49,0.42147157190635454,250 jobs
73,13,0.6083254237288136,45,0.6083254237288136,10 jobs
74,29,0.6932363636363637,50,0.6926545454545454,25 jobs
75,79,0.6648130612244898,42,0.6648930612244898,100 jobs
76,69,0.5524246153846154,49,0.5519538461538461,100 jobs
77,109,0.4417333333333333,45,0.44026666666666664,500 jobs
78,65,0.6232448979591837,50,0.620921768707483,100 jobs
79,90,0.5609141960784314,46,0.5669389803921568,250 jobs
80,35,0.3212581032412965,42,0.31940456182472987,25 jobs
81,27,0.7880784313725491,46,0.7880784313725491,25 jobs
82,82,0.42346666666666666,42,0.42506666666666665,250 jobs
83,60,0.6448484848484849,51,0.6529858585858586,50 jobs
84,95,0.6857667565139264,47,0.6876988319856244,250 jobs
85,30,0.6079387234042554,43,0.6079387234042554,25 jobs
86,22,0.48533333333333334,47,0.48533333333333334,25 jobs
87,87,0.49173333333333336,43,0.4925333333333333,250 jobs
88,17,0.45175324675324674,51,0.45175324675324674,10 jobs
89,55,0.7631020408163265,47,0.7666938775510204,50 jobs
90,103,0.6172414117647059,47,0.6130089411764705,500 jobs
91,111,0.7163294117647059,43,0.7188862745098039,500 jobs
92,47,0.6421508704061896,43,0.6331295938104449,50 jobs
93,12,0.576,50,0.576,10 jobs
94,106,0.5614666666666667,46,0.5614666666666667,500 jobs
95,50,0.5561666666666667,46,0.54,50 jobs
96,42,0.66,42,0.66,50 jobs
97,114,0.49014588235294115,42,0.48092705882352943,500 jobs
98,28,0.47445333333333334,45,0.47445333333333334,25 jobs
99,2,0.7016666666666667,47,0.7016666666666667,10 jobs
100,71,0.528,45,0.528,100 jobs
101,47,0.6421508704061896,49,0.6331295938104449,50 jobs
102,111,0.7173725490196079,49,0.7158823529411765,500 jobs
103,7,0.8538092147955872,46,0.8538092147955872,10 jobs
104,118,0.4925333333333333,51,0.4936,500 jobs
105,74,0.6614166666666667,44,0.6590833333333334,100 jobs
106,114,0.48250039215686275,48,0.4875701960784314,500 jobs
107,42,0.66,48,0.66,50 jobs
108,8,0.8694915254237288,45,0.8694915254237288,10 jobs
109,35,0.31940456182472987,48,0.3212869147659064,25 jobs
110,82,0.42293333333333333,48,0.42346666666666666,250 jobs
111,69,0.5491692307692307,43,0.5551476923076923,100 jobs
112,39,0.7305515151515152,51,0.7305515151515152,25 jobs
113,30,0.6079387234042554,49,0.6079387234042554,25 jobs
114,87,0.49866666666666665,49,0.49466666666666664,250 jobs
115,58,0.670749090909091,46,0.670749090909091,50 jobs
116,20,0.45724933451641525,45,0.45724933451641525,10 jobs
117,97,0.3930666666666667,45,0.3928,250 jobs
118,16,0.7858823529411765,49,0.7858823529411765,10 jobs
119,119,0.6457333333333334,43,0.6421333333333333,500 jobs
120,25,0.49207843137254903,44,0.49207843137254903,25 jobs
121,92,0.4197484949832776,44,0.43114515050167224,250 jobs
122,13,0.6083254237288136,48,0.5843389830508474,10 jobs
123,52,0.5906666666666667,44,0.5906666666666667,50 jobs
124,104,0.42013333333333336,44,0.4204,500 jobs
125,64,0.5760075757575758,48,0.5760909090909091,100 jobs
126,38,0.5798892307692308,43,0.5757538461538462,25 jobs
127,68,0.7440298039215686,51,0.7426886274509804,100 jobs
128,101,0.44453333333333334,45,0.44853333333333334,500 jobs
129,57,0.5477333333333333,45,0.5472,50 jobs
130,61,0.5022857142857143,49,0.5022857142857143,100 jobs
131,98,0.5035261538461538,46,0.5130929230769231,250 jobs
132,38,0.5696492307692308,49,0.5823507692307692,25 jobs
133,5,0.3974712643678161,44,0.3974712643678161,10 jobs
134,34,0.6932622222222222,50,0.6996622222222222,25 jobs
135,83,0.6816,50,0.6816,250 jobs
136,76,0.6666666666666666,46,0.6666666666666666,100 jobs
137,120,0.5024210196078431,46,0.5014061176470588,500 jobs
138,64,0.5768409090909091,42,0.5767575757575758,100 jobs
139,31,0.5189333333333334,51,0.5189333333333334,25 jobs
140,86,0.6325333333333333,51,0.6322666666666666,250 jobs
141,73,0.5726666666666667,47,0.5746666666666667,100 jobs
142,61,0.49942857142857144,43,0.49714285714285716,100 jobs
143,110,0.6541415849056603,51,0.6527281509433962,500 jobs
144,46,0.5901333333333333,51,0.5901333333333333,50 jobs
145,16,0.7858823529411765,43,0.7858823529411765,10 jobs
146,43,0.56,50,0.56,50 jobs
147,115,0.6156,50,0.6164,500 jobs
148,13,0.5843389830508474,42,0.5843389830508474,10 jobs
149,119,0.6476,49,0.6462666666666667,500 jobs
150,79,0.6648930612244898,45,0.6649730612244898,100 jobs
151,8,0.8694915254237288,46,0.8694915254237288,10 jobs
152,11,0.6293333333333333,43,0.6293333333333333,10 jobs
153,41,0.5148571428571429,51,0.5148571428571429,50 jobs
154,117,0.7134666666666667,51,0.714,500 jobs
155,48,0.5525289795918368,49,0.556450612244898,50 jobs
156,14,0.5788148148148148,42,0.5788148148148148,10 jobs
157,112,0.33386666666666664,50,0.328,500 jobs
158,44,0.5450066666666666,50,0.5450066666666666,50 jobs
159,63,0.4525777777777778,42,0.44136969696969697,100 jobs
160,71,0.528,46,0.528,100 jobs
161,84,0.7045919863597613,50,0.7021763000852514,250 jobs
162,33,0.4938867924528302,50,0.49645283018867925,25 jobs
163,2,0.7016666666666667,44,0.7016666666666667,10 jobs
164,88,0.44539497098646036,49,0.4405926499032882,250 jobs
165,66,0.8006666666666666,43,0.8006666666666666,100 jobs
166,74,0.6633333333333333,47,0.6655,100 jobs
167,81,0.384,51,0.38693333333333335,250 jobs
168,36,0.56,51,0.56,25 jobs
169,7,0.8538092147955872,45,0.8538092147955872,10 jobs
170,88,0.4448286266924565,43,0.445268085106383,250 jobs
171,63,0.46246868686868686,48,0.44954747474747475,100 jobs
172,103,0.6126569411764706,44,0.610475294117647,500 jobs
173,55,0.7631020408163265,44,0.7631020408163265,50 jobs
174,28,0.47445333333333334,46,0.47445333333333334,25 jobs
175,66,0.8006666666666666,49,0.8006666666666666,100 jobs
176,50,0.5493333333333333,45,0.549,50 jobs
177,106,0.56,45,0.5601333333333334,500 jobs
178,11,0.6293333333333333,49,0.6293333333333333,10 jobs
179,90,0.5640125490196078,45,0.5636668235294118,250 jobs
180,27,0.7880784313725491,45,0.7880784313725491,25 jobs
181,109,0.4401333333333333,46,0.44293333333333335,500 jobs
182,14,0.5788148148148148,48,0.5788148148148148,10 jobs
183,95,0.687499730458221,44,0.6879827493261456,250 jobs
184,22,0.48533333333333334,44,0.48533333333333334,25 jobs
185,18,0.7363636363636363,51,0.7363636363636363,10 jobs
186,48,0.5696816326530613,43,0.5661387755102041,50 jobs
187,89,0.4672,51,0.4672,250 jobs
188,85,0.6202666666666666,48,0.6216,250 jobs
189,32,0.5173333333333333,48,0.5173333333333333,25 jobs
190,79,0.6646530612244897,46,0.6646530612244897,100 jobs
191,80,0.4660078431372549,49,0.475198431372549,100 jobs
192,37,0.91488,49,0.91488,25 jobs
193,116,0.428,49,0.42893333333333333,500 jobs
194,40,0.5643815384615385,49,0.5653538461538462,25 jobs
195,120,0.5036006274509804,45,0.5012260392156863,500 jobs
196,76,0.6666666666666666,45,0.6666666666666666,100 jobs
197,5,0.4242036124794745,47,0.3974712643678161,10 jobs
198,45,0.7042877470355732,48,0.6993422924901186,50 jobs
199,113,0.4941333333333333,48,0.4956,500 jobs
200,73,0.5713333333333334,44,0.574,100 jobs
201,49,0.62624,51,0.62384,50 jobs
202,19,0.5304,43,0.5304,10 jobs
203,40,0.5643815384615385,43,0.5653538461538462,25 jobs
204,116,0.4288,43,0.4265333333333333,500 jobs
205,104,0.4216,47,0.4162666666666667,500 jobs
206,52,0.592,47,0.5906666666666667,50 jobs
207,10,0.6372,51,0.6372,10 jobs
208,98,0.507744,45,0.5159372307692308,250 jobs
209,19,0.5304,49,0.5304,10 jobs
210,113,0.4945333333333333,42,0.4956,500 jobs
211,45,0.7057422924901186,42,0.6977422924901185,50 jobs
212,57,0.5512,46,0.5477333333333333,50 jobs
213,101,0.4484,46,0.4464,500 jobs
214,15,0.5526666666666666,50,0.5526666666666666,10 jobs
215,85,0.6213333333333333,42,0.6226666666666667,250 jobs
216,20,0.45724933451641525,46,0.45724933451641525,10 jobs
217,32,0.5173333333333333,42,0.5173333333333333,25 jobs
218,97,0.39413333333333334,46,0.38986666666666664,250 jobs
219,62,0.6450603773584905,50,0.643022641509434,100 jobs
220,58,0.670749090909091,45,0.670749090909091,50 jobs
221,80,0.46730196078431374,43,0.4826729411764706,100 jobs
222,25,0.49207843137254903,47,0.49207843137254903,25 jobs
223,37,0.91488,43,0.91488,25 jobs
224,92,0.4171612040133779,47,0.4192254180602007,250 jobs
225,67,0.462,51,0.46066666666666667,100 jobs
226,69,0.5500338461538462,47,0.5486461538461539,100 jobs
227,11,0.6293333333333333,44,0.6293333333333333,10 jobs
228,90,0.564651294117647,48,0.5675250196078432,250 jobs
229,27,0.7880784313725491,48,0.7880784313725491,25 jobs
230,99,0.655456,50,0.655744,250 jobs
231,14,0.5788148148148148,45,0.5788148148148148,10 jobs
232,95,0.6870469002695417,49,0.6898120395327942,250 jobs
233,22,0.48533333333333334,49,0.48533333333333334,25 jobs
234,63,0.4604969696969697,45,0.4510949494949495,100 jobs
235,55,0.7631020408163265,49,0.7666938775510204,50 jobs
236,103,0.6147444705882353,49,0.6109712941176471,500 jobs
237,2,0.7016666666666667,43,0.7016666666666667,10 jobs
238,59,0.569,50,0.5771666666666667,50 jobs
239,66,0.8006666666666666,44,0.8006666666666666,100 jobs
240,106,0.5613333333333334,48,0.5614666666666667,500 jobs
241,50,0.5601666666666667,48,0.5396666666666666,50 jobs
242,7,0.8538092147955872,42,0.8538092147955872,10 jobs
243,2,0.7016666666666667,49,0.7016666666666667,10 jobs
244,88,0.45101044487427466,44,0.4499667311411992,250 jobs
245,103,0.6143256470588235,43,0.6085110588235294,500 jobs
246,55,0.7631020408163265,43,0.7631020408163265,50 jobs
247,47,0.6331295938104449,47,0.6421508704061896,50 jobs
248,111,0.7178588235294118,47,0.7188705882352942,500 jobs
249,7,0.8538092147955872,48,0.8538092147955872,10 jobs
250,50,0.5628333333333333,42,0.5396666666666666,50 jobs
251,106,0.5609333333333333,42,0.5610666666666667,500 jobs
252,114,0.4854572549019608,46,0.48428392156862743,500 jobs
253,42,0.66,46,0.66,50 jobs
254,77,0.47733333333333333,50,0.47733333333333333,100 jobs
255,35,0.37431932773109244,46,0.3503193277310924,25 jobs
256,90,0.5685032156862745,42,0.5669973333333334,250 jobs
257,82,0.4248,46,0.42346666666666666,250 jobs
258,27,0.7880784313725491,42,0.7880784313725491,25 jobs
259,72,0.5086666666666667,51,0.5086666666666667,100 jobs
260,30,0.6079387234042554,47,0.6079387234042554,25 jobs
261,95,0.6889063791554357,43,0.6874091644204852,250 jobs
262,87,0.5026666666666667,47,0.4968,250 jobs
263,22,0.48533333333333334,43,0.48533333333333334,25 jobs
264,48,0.5569926530612245,44,0.5693322448979592,50 jobs
265,58,0.670749090909091,48,0.6706472727272728,50 jobs
266,102,0.4729777777777778,51,0.47416507936507934,500 jobs
267,54,0.4666666666666667,51,0.4666666666666667,50 jobs
268,16,0.7858823529411765,47,0.7858823529411765,10 jobs
269,51,0.6165714285714285,50,0.6165714285714285,50 jobs
270,107,0.74952,50,0.751696,500 jobs
271,13,0.5843389830508474,46,0.6083254237288136,10 jobs
272,91,0.5034666666666666,50,0.5018666666666667,250 jobs
273,26,0.5946666666666667,50,0.5946666666666667,25 jobs
274,120,0.504065568627451,42,0.5020618039215686,500 jobs
275,76,0.6666666666666666,42,0.6666666666666666,100 jobs
276,64,0.5771742424242424,46,0.5761742424242424,100 jobs
277,94,0.4981851428571429,51,0.4916982857142857,250 jobs
278,23,0.6390903010033445,51,0.6390903010033445,25 jobs
279,73,0.5733333333333334,43,0.5773333333333334,100 jobs
280,61,0.5011428571428571,47,0.49885714285714283,100 jobs
281,98,0.5073747692307692,48,0.5082227692307693,250 jobs
282,19,0.5304,44,0.5304,10 jobs
283,38,0.5774892307692308,47,0.5805784615384615,25 jobs
284,40,0.5672738461538461,44,0.5653538461538462,25 jobs
285,116,0.4266666666666667,44,0.4256,500 jobs
286,76,0.6666666666666666,48,0.6666666666666666,100 jobs
287,120,0.5059629803921568,48,0.5050450196078431,500 jobs
288,98,0.5069427692307692,42,0.5058227692307692,250 jobs
289,113,0.4956,45,0.49533333333333335,500 jobs
290,45,0.7153422924901186,45,0.7000695652173913,50 jobs
291,73,0.5713333333333334,49,0.572,100 jobs
292,85,0.624,45,0.6224,250 jobs
293,32,0.5173333333333333,45,0.5173333333333333,25 jobs
294,58,0.670749090909091,42,0.670749090909091,50 jobs
295,3,0.45,51,0.45,10 jobs
296,80,0.4709113725490196,44,0.46837960784313726,100 jobs
297,37,0.91488,44,0.91488,25 jobs
298,119,0.6477333333333334,47,0.6456,500 jobs
299,6,0.6733333333333333,50,0.6733333333333333,10 jobs
300,98,0.507307076923077,43,0.5102055384615385,250 jobs
301,45,0.701906719367589,44,0.7003067193675889,50 jobs
302,113,0.49346666666666666,44,0.49493333333333334,500 jobs
303,73,0.574,48,0.576,100 jobs
304,38,0.5783507692307692,46,0.5823507692307692,25 jobs
305,116,0.43093333333333333,45,0.4292,500 jobs
306,40,0.5643815384615385,45,0.5653538461538462,25 jobs
307,120,0.5049634509803922,49,0.5018886274509804,500 jobs
308,76,0.6666666666666666,49,0.6666666666666666,100 jobs
309,37,0.91488,45,0.91488,25 jobs
310,80,0.4650164705882353,45,0.4790478431372549,100 jobs
311,119,0.6478666666666667,46,0.6473333333333333,500 jobs
312,6,0.6733333333333333,51,0.6733333333333333,10 jobs
313,32,0.5173333333333333,44,0.5173333333333333,25 jobs
314,85,0.6229333333333333,44,0.6258666666666667,250 jobs
315,58,0.670749090909091,43,0.670749090909091,50 jobs
316,3,0.45,50,0.45,10 jobs
317,107,0.750576,51,0.751488,500 jobs
318,51,0.6165714285714285,51,0.6165714285714285,50 jobs
319,13,0.6083254237288136,47,0.6083254237288136,10 jobs
320,58,0.670749090909091,49,0.670749090909091,50 jobs
321,54,0.4666666666666667,50,0.4666666666666667,50 jobs
322,102,0.4738222222222222,50,0.4729333333333333,500 jobs
323,16,0.7858823529411765,46,0.7858823529411765,10 jobs
324,23,0.6527224080267559,50,0.6390903010033445,25 jobs
325,94,0.48530742857142856,50,0.4878308571428571,250 jobs
326,61,0.5,46,0.5005714285714286,100 jobs
327,73,0.572,42,0.574,100 jobs
328,98,0.5102387692307693,49,0.5121464615384616,250 jobs
329,19,0.5304,45,0.5304,10 jobs
330,26,0.5946666666666667,51,0.5946666666666667,25 jobs
331,91,0.5013333333333333,51,0.5016,250 jobs
332,64,0.5807575757575758,47,0.5766742424242425,100 jobs
333,76,0.6666666666666666,43,0.6666666666666666,100 jobs
334,120,0.5026443921568627,43,0.5019052549019608,500 jobs
335,7,0.8538092147955872,49,0.8538092147955872,10 jobs
336,42,0.66,47,0.66,50 jobs
337,114,0.4823074509803922,47,0.4797254901960784,500 jobs
338,106,0.5616,43,0.5604,500 jobs
339,50,0.5435,43,0.557,50 jobs
340,2,0.7016666666666667,48,0.7016666666666667,10 jobs
341,88,0.45024835589941975,45,0.45153423597678916,250 jobs
342,111,0.7199843137254902,46,0.7192235294117647,500 jobs
343,47,0.6421508704061896,46,0.6331295938104449,50 jobs
344,55,0.7631020408163265,42,0.7631020408163265,50 jobs
345,103,0.6187727058823529,42,0.6159369411764706,500 jobs
346,72,0.5086666666666667,50,0.5086666666666667,100 jobs
347,22,0.48533333333333334,42,0.48533333333333334,25 jobs
348,87,0.4962666666666667,46,0.4912,250 jobs
349,95,0.686247619047619,42,0.6870469002695417,250 jobs
350,30,0.6079387234042554,46,0.6079387234042554,25 jobs
351,48,0.577149387755102,45,0.5501681632653062,50 jobs
352,77,0.4746666666666667,51,0.47733333333333333,100 jobs
353,27,0.7880784313725491,43,0.7880784313725491,25 jobs
354,82,0.42346666666666666,47,0.4242666666666667,250 jobs
355,90,0.566804705882353,43,0.5681436862745098,250 jobs
356,35,0.3337719087635054,47,0.3212869147659064,25 jobs
357,99,0.65888,51,0.653888,250 jobs
358,14,0.5788148148148148,44,0.5788148148148148,10 jobs
359,22,0.48533333333333334,48,0.48533333333333334,25 jobs
360,95,0.6886929020664869,48,0.6869865229110512,250 jobs
361,69,0.5440707692307692,46,0.5479015384615384,100 jobs
362,11,0.6293333333333333,45,0.6293333333333333,10 jobs
363,27,0.7880784313725491,49,0.7880784313725491,25 jobs
364,90,0.5650823529411765,49,0.5651068235294118,250 jobs
365,66,0.8006666666666666,45,0.8006666666666666,100 jobs
366,50,0.562,49,0.54,50 jobs
367,106,0.562,49,0.5601333333333334,500 jobs
368,7,0.8538092147955872,43,0.8538092147955872,10 jobs
369,63,0.46362424242424244,44,0.4431151515151515,100 jobs
370,103,0.6161214117647059,48,0.6102230588235295,500 jobs
371,55,0.7631020408163265,48,0.7631020408163265,50 jobs
372,2,0.7016666666666667,42,0.7016666666666667,10 jobs
373,59,0.5803333333333334,51,0.5776666666666667,50 jobs
374,98,0.5069292307692308,44,0.5076147692307692,250 jobs
375,19,0.5304,48,0.5304,10 jobs
376,101,0.4457333333333333,47,0.4468,500 jobs
377,57,0.5477333333333333,47,0.5477333333333333,50 jobs
378,45,0.7120885375494072,43,0.7012332015810276,50 jobs
379,113,0.49333333333333335,43,0.49506666666666665,500 jobs
380,15,0.5526666666666666,51,0.5526666666666666,10 jobs
381,52,0.592,46,0.5906666666666667,50 jobs
382,104,0.42013333333333336,46,0.4168,500 jobs
383,116,0.4281333333333333,42,0.42546666666666666,500 jobs
384,40,0.5643815384615385,42,0.5653538461538462,25 jobs
385,10,0.6372,50,0.6372,10 jobs
386,92,0.4212749163879599,46,0.42183277591973245,250 jobs
387,37,0.91488,42,0.91488,25 jobs
388,25,0.49207843137254903,46,0.49207843137254903,25 jobs
389,80,0.4669678431372549,42,0.47101176470588235,100 jobs
390,67,0.462,50,0.456,100 jobs
391,97,0.39386666666666664,47,0.3936,250 jobs
